,Lista/Pacto,Partido,Votos,comuna,comuna_id,circ_electoral,circ_electoral_id,mesa,id_mesa,Porcentaje,Candidatos,Electo,,distrito
0,YQ.APRUEBO DIGNIDAD,PCCH,3,ARICA,2822,ARICA,7001,3M,70010003,"2,70%",23. CARLOS ALBERTO YEVENES TORRES (H),,,1.0
0,YQ.APRUEBO DIGNIDAD,IND-FREVS,5,ARICA,2822,ARICA,7001,3M,70010003,"4,50%",24. SHEILA MARIANELLA SANCHEZ COPAJA (M),,,1.0
0,YQ.APRUEBO DIGNIDAD,IND-FREVS,4,ARICA,2822,ARICA,7001,3M,70010003,"3,60%",25. HERMANN ROBERTO MONDACA RAITERI (H),,,1.0
0,YQ.APRUEBO DIGNIDAD,IND-COMUNES,2,ARICA,2822,ARICA,7001,3M,70010003,"1,80%",26. OSCAR BORIS PALLERES FLORES (H),,,1.0
0,YV.INDEPENDIENTES POR UNA NUEVA CONSTITUCION (D1),IND,0,ARICA,2822,ARICA,7001,3M,70010003,"0,00%",27. CATALINA DANIELA CABRERA MALDONADO (M),,,1.0
0,YV.INDEPENDIENTES POR UNA NUEVA CONSTITUCION (D1),IND,0,ARICA,2822,ARICA,7001,3M,70010003,"0,00%",28. EDWIN RENE BRICEÑO COBB (H),,,1.0
0,YV.INDEPENDIENTES POR UNA NUEVA CONSTITUCION (D1),IND,0,ARICA,2822,ARICA,7001,3M,70010003,"0,00%",29. JUDITH ESTHER LUNA DUARTE (M),,,1.0
0,YV.INDEPENDIENTES POR UNA NUEVA CONSTITUCION (D1),IND,0,ARICA,2822,ARICA,7001,3M,70010003,"0,00%",30. RAFAEL ANDRES VARGAS MALDONADO (H),,,1.0
0,YV.INDEPENDIENTES POR UNA NUEVA CONSTITUCION (D1),IND,2,ARICA,2822,ARICA,7001,3M,70010003,"1,80%",31. SARA FERNANDA VILLARROEL SAN MARTIN (M),,,1.0
0,YV.INDEPENDIENTES POR UNA NUEVA CONSTITUCION (D1),IND,3,ARICA,2822,ARICA,7001,3M,70010003,"2,70%",32. RODRIGO ALEJANDRO VENEGAS VERGARA (H),,,1.0
0,ZR.PARTIDO DE TRABAJADORES REVOLUCIONARIOS,PTR,1,ARICA,2822,ARICA,7001,3M,70010003,"0,90%",33. FERNANDA ANDREA MORALES ARACENA (M),,,1.0
0,ZR.PARTIDO DE TRABAJADORES REVOLUCIONARIOS,PTR,0,ARICA,2822,ARICA,7001,3M,70010003,"0,00%",34. CAMILO MARTIN JOFRE CAÑIPA (H),,,1.0
0,ZR.PARTIDO DE TRABAJADORES REVOLUCIONARIOS,PTR,1,ARICA,2822,ARICA,7001,3M,70010003,"0,90%",35. VALENTINA PAZ ALBARRACIN GONZALEZ (M),,,1.0
0,ZR.PARTIDO DE TRABAJADORES REVOLUCIONARIOS,PTR,0,ARICA,2822,ARICA,7001,3M,70010003,"0,00%",36. MANUEL AQUILES ROJAS VIDELA (H),,,1.0
0,CANDIDATURA INDEPENDIENTE,IND,4,ARICA,2822,ARICA,7001,3M,70010003,"3,60%",37. RODRIGO LEONARDO MUÑOZ PONCE (H),,,1.0
0,CANDIDATURA INDEPENDIENTE,IND,11,ARICA,2822,ARICA,7001,3M,70010003,"9,91%",38. ROMINA ALEJANDRA LE BLANC AMPUERO (M),,,1.0
0,WE.SUMATE AHORA (D1),IND,0,ARICA,2822,ARICA,7001,4M-100V,70010004,"0,00%",1. MILENE ROSSINA MOLINA ARANCIBIA (M),,,1.0
0,WE.SUMATE AHORA (D1),IND,7,ARICA,2822,ARICA,7001,4M-100V,70010004,"6,36%",2. JOSE ISAAC BARRAZA LLERENA (H),,,1.0
0,WE.SUMATE AHORA (D1),IND,0,ARICA,2822,ARICA,7001,4M-100V,70010004,"0,00%",3. YARLLETTE ISABEL MARAMBIO FLOR (M),,,1.0
0,WE.SUMATE AHORA (D1),IND,0,ARICA,2822,ARICA,7001,4M-100V,70010004,"0,00%",4. SERGIO JESUS GALLARDO ALFARO (H),,,1.0
0,WE.SUMATE AHORA (D1),IND,1,ARICA,2822,ARICA,7001,4M-100V,70010004,"0,91%",5. REBECA BUTRON CATALAN (M),,,1.0
0,WK.ARICA SIEMPRE ARICA (D1),IND,7,ARICA,2822,ARICA,7001,4M-100V,70010004,"6,36%",6. GIGLIOLA MARIA CARLEVARINO WEITZEL (M),,,1.0
0,WK.ARICA SIEMPRE ARICA (D1),IND,2,ARICA,2822,ARICA,7001,4M-100V,70010004,"1,82%",7. WILLI HANS ZUCHEL BALCARCE (H),,,1.0
0,WK.ARICA SIEMPRE ARICA (D1),IND,2,ARICA,2822,ARICA,7001,4M-100V,70010004,"1,82%",8. CARMEN LIA VERGARA BERTON (M),,,1.0
0,WK.ARICA SIEMPRE ARICA (D1),IND,6,ARICA,2822,ARICA,7001,4M-100V,70010004,"5,45%",9. CRISTIAN GUSTAVO PINTO CORTEZ (H),,,1.0
0,XP.VAMOS POR CHILE,IND-UDI,5,ARICA,2822,ARICA,7001,4M-100V,70010004,"4,55%",10. POLLYANA RIVERA BIGAS (M),,*,1.0
0,XP.VAMOS POR CHILE,UDI,0,ARICA,2822,ARICA,7001,4M-100V,70010004,"0,00%",11. VALERIO PATRICIO CAÑIPA TARQUE (H),,,1.0
0,XP.VAMOS POR CHILE,RN,4,ARICA,2822,ARICA,7001,4M-100V,70010004,"3,64%",12. MARIA CALATAYUD SAAVEDRA (M),,,1.0
0,XP.VAMOS POR CHILE,RN,2,ARICA,2822,ARICA,7001,4M-100V,70010004,"1,82%",13. HECTOR MILLA BRAVO (H),,,1.0
0,XP.VAMOS POR CHILE,IND-EVOPOLI,0,ARICA,2822,ARICA,7001,4M-100V,70010004,"0,00%",14. BRUNELLA VINET MATTASOGLIO (M),,,1.0
0,XP.VAMOS POR CHILE,IND-EVOPOLI,5,ARICA,2822,ARICA,7001,4M-100V,70010004,"4,55%",15. FRANCISCO JAVIER GONZALEZ SILVA (H),,,1.0
0,YB.LISTA DEL APRUEBO,PS,1,ARICA,2822,ARICA,7001,4M-100V,70010004,"0,91%",16. HORTENCIA HIDALGO CACERES (M),,,1.0
0,YB.LISTA DEL APRUEBO,IND-PL,9,ARICA,2822,ARICA,7001,4M-100V,70010004,"8,18%",17. JORGE BRUNO ABARCA RIVEROS (H),,*,1.0
0,YB.LISTA DEL APRUEBO,IND-PRO,0,ARICA,2822,ARICA,7001,4M-100V,70010004,"0,00%",18. IRIS ANDREA RUBIO MEDINA (M),,,1.0
0,YB.LISTA DEL APRUEBO,PDC,5,ARICA,2822,ARICA,7001,4M-100V,70010004,"4,55%",19. RAUL  CASTRO LETELIER (H),,,1.0
0,YB.LISTA DEL APRUEBO,PR,0,ARICA,2822,ARICA,7001,4M-100V,70010004,"0,00%",20. ERNESTINA DEL CARMEN SILVA VILLEGAS (M),,,1.0
0,YB.LISTA DEL APRUEBO,PS,1,ARICA,2822,ARICA,7001,4M-100V,70010004,"0,91%",21. ENZO VARENS ALVAREZ (H),,,1.0
0,YQ.APRUEBO DIGNIDAD,PCCH,4,ARICA,2822,ARICA,7001,4M-100V,70010004,"3,64%",22. CAROLINA ELIANA VIDELA OSORIO (M),,*,1.0
0,YQ.APRUEBO DIGNIDAD,PCCH,2,ARICA,2822,ARICA,7001,4M-100V,70010004,"1,82%",23. CARLOS ALBERTO YEVENES TORRES (H),,,1.0
0,YQ.APRUEBO DIGNIDAD,IND-FREVS,5,ARICA,2822,ARICA,7001,4M-100V,70010004,"4,55%",24. SHEILA MARIANELLA SANCHEZ COPAJA (M),,,1.0
0,YQ.APRUEBO DIGNIDAD,IND-FREVS,7,ARICA,2822,ARICA,7001,4M-100V,70010004,"6,36%",25. HERMANN ROBERTO MONDACA RAITERI (H),,,1.0
0,YQ.APRUEBO DIGNIDAD,IND-COMUNES,0,ARICA,2822,ARICA,7001,4M-100V,70010004,"0,00%",26. OSCAR BORIS PALLERES FLORES (H),,,1.0
0,YV.INDEPENDIENTES POR UNA NUEVA CONSTITUCION (D1),IND,2,ARICA,2822,ARICA,7001,4M-100V,70010004,"1,82%",27. CATALINA DANIELA CABRERA MALDONADO (M),,,1.0
0,YV.INDEPENDIENTES POR UNA NUEVA CONSTITUCION (D1),IND,2,ARICA,2822,ARICA,7001,4M-100V,70010004,"1,82%",28. EDWIN RENE BRICEÑO COBB (H),,,1.0
0,YV.INDEPENDIENTES POR UNA NUEVA CONSTITUCION (D1),IND,2,ARICA,2822,ARICA,7001,4M-100V,70010004,"1,82%",29. JUDITH ESTHER LUNA DUARTE (M),,,1.0
0,YV.INDEPENDIENTES POR UNA NUEVA CONSTITUCION (D1),IND,3,ARICA,2822,ARICA,7001,4M-100V,70010004,"2,73%",30. RAFAEL ANDRES VARGAS MALDONADO (H),,,1.0
